"ARREST_KEY","ARREST_DATE","PD_CD","PD_DESC","KY_CD","OFNS_DESC","LAW_CODE","LAW_CAT_CD","ARREST_BORO","ARREST_PRECINCT","JURISDICTION_CODE","AGE_GROUP","PERP_SEX","PERP_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lon_Lat"
"292125359","08/22/2024","616","LOITERING,TRANSPORTATION FACIL","672","LOITERING","PL 2403506","V","M","18","1","45-64","M","ASIAN / PACIFIC ISLANDER","989780","218177","40.76552011224","-73.98003670045","POINT (-73.98003670045068 40.765520112238185)"
"290712577","07/26/2024","610","LOITERING,GAMBLING,OTHER","571","LOITERING/GAMBLING (CARDS, DIC","PL 2403502","V","M","25","0","25-44","M","WHITE HISPANIC","1001487","232707","40.805388","-73.937736","POINT (-73.937736 40.805388)"
"284867197","04/05/2024","610","LOITERING,GAMBLING,OTHER","571","LOITERING/GAMBLING (CARDS, DIC","PL 2403502","V","B","46","0","25-44","M","BLACK HISPANIC","1008225","250623","40.854545","-73.913334","POINT (-73.913334 40.854545)"
"284867205","04/05/2024","610","LOITERING,GAMBLING,OTHER","571","LOITERING/GAMBLING (CARDS, DIC","PL 2403502","V","B","46","0","25-44","M","BLACK HISPANIC","1008225","250623","40.854545","-73.913334","POINT (-73.913334 40.854545)"
"284739174","04/03/2024","616","LOITERING,TRANSPORTATION FACIL","672","LOITERING","PL 2403506","V","B","52","1","25-44","M","WHITE HISPANIC","1011612","253618","40.86275507176","-73.90107874095","POINT (-73.90107874094647 40.86275507175744)"
"254299631","11/17/2022","610","LOITERING,GAMBLING,OTHER","571","LOITERING/GAMBLING (CARDS, DIC","PL 2403502","V","K","81","0","45-64","M","BLACK","1001808","191101","40.691189","-73.936685","POINT (-73.936685 40.691189)"
"252251030","10/08/2022","610","LOITERING,GAMBLING,OTHER","571","LOITERING/GAMBLING (CARDS, DIC","PL 2403502","V","K","90","0","45-64","M","BLACK","1001428","195651","40.703679","-73.938044","POINT (-73.938044 40.703679)"
"250794444","09/08/2022","610","LOITERING,GAMBLING,OTHER","571","LOITERING/GAMBLING (CARDS, DIC","PL 2403502","V","K","62","0","45-64","M","ASIAN / PACIFIC ISLANDER","984401","161498","40.60995103","-73.99945616","POINT (-73.99945616 40.60995103)"
"249289514","08/09/2022","610","LOITERING,GAMBLING,OTHER","571","LOITERING/GAMBLING (CARDS, DIC","PL 2403502","V","K","81","0","25-44","M","BLACK","1001963","186901","40.679662","-73.936135","POINT (-73.936135 40.679662)"
"247129355","06/24/2022","610","LOITERING,GAMBLING,OTHER","571","LOITERING/GAMBLING (CARDS, DIC","PL 2403502","V","K","94","0","25-44","M","WHITE","1000804","200664","40.717439","-73.940281","POINT (-73.940281 40.717439)"
